# Yolande Moreau
> Box - office

|  | Films | Director | Year | France (entries) |
| --- | --- | --- | --- |
| 1 | Amélie | Jean-Pierre Jeunet | 2001 | 8,636,041 |
| 2 | The Three Brothers | Didier Bourdon , Bernard Campan | 1995 | 6,897,098 |
| 3 | Germinal | Claude Berri | 1993 | 6,161,776 |
| 4 | Happiness Is in the Field | Étienne Chatiliez | 1995 | 4,931,618 |
| 5 | The Horseman on the Roof | Jean-Paul Rappeneau | 1995 | 2,552,695 |
| 6 | 9 Month Stretch | Albert Dupontel | 2013 | 2,070,776 |
| 7 | Micmacs | Jean-Pierre Jeunet (2) | 2009 | 1,258,804 |
| 8 | Incognito | Éric Lavaine | 2009 | 1,250,138 |
| 9 | Gainsbourg: A Heroic Life | Joann Sfar | 2010 | 1,199,451 |
| 10 | In the House | François Ozon | 2012 | 1,195,518 |
| 11 | Vagabond | Agnès Varda | 1985 | 1,080,143 |
