# Bottled Water Brand pH Bands (Categorized Into Ranges Instead of Exact Values)

| Brand | Water Type | pH Band | Band Definition | Interpretation |
|---|---|---|---|---|
| Propel Fitness Water | Flavored water | 3.0–4.0 | Strongly acidic | Well below neutral |
| Vitamin Water | Enhanced water | 3.5–4.5 | Strongly acidic | Acid additives |
| Poland Spring | Spring | 6.0–6.5 | Slightly acidic | Near neutral |
| Smartwater | Distilled + minerals | 6.5–7.0 | Near neutral | Close to 7 |
| Evian | Spring | 7.0–7.5 | Slightly alkaline | Just above neutral |
| Fiji | Artesian | 7.0–7.5 | Slightly alkaline | Silica-rich |
| Absopure Michigan | Spring | 7.4–7.8 | Mild alkaline | Above 7 |
| Acqua Panna | Spring | 8.0–8.5 | Alkaline | Mineral-buffered |
| Essentia | Ionized/alkaline | 9.0–9.5 | High alkaline | Marketed alkaline |
