# Pat Williams — NFL Team History by Season

| Season | League | Team | Transaction / Context |
|---|---|---|---|
| 1997 | NFL | Buffalo Bills | NFL debut |
| 1998 | NFL | Buffalo Bills | — |
| 1999 | NFL | Buffalo Bills | — |
| 2000 | NFL | Buffalo Bills | — |
| 2001 | NFL | Buffalo Bills | — |
| 2002 | NFL | Buffalo Bills | — |
| 2003 | NFL | Buffalo Bills | — |
| 2004 | NFL | Minnesota Vikings | Signed with Minnesota |
| 2005 | NFL | Minnesota Vikings | — |
| 2006 | NFL | Minnesota Vikings | — |
| 2007 | NFL | Minnesota Vikings | — |
| 2008 | NFL | Minnesota Vikings | — |
| 2009 | NFL | Minnesota Vikings | — |
| 2010 | NFL | Minnesota Vikings | Final NFL season |
