# Horndean Technology College
> Curriculum

| Subject | Head of Department | Optional or compulsory at GCSE |
| --- | --- | --- |
| Maths | Jon Colebrook | Compulsory |
| English | Shorny Malcolmson | Compulsory |
| Science | Thomas Mitchell | Compulsory |
| Design Technology | Joanne Ladbroom | Compulsory |
| Physical Education | Amy Hughes | Compulsory |
| Information Communication Technology (ICT) | Sarah Wood | Optional |
| Modern Foreign Languages | Justin Miglairi | Optional |
| Music | Melanie Tanner | Optional |
| Business Studies and Travel and Tourism | Sarah Wood | Optional |
| Art | Stephen Jepson | Optional |
| History | Suzy Gudgeon | Optional |
| Geography | Gemma Morgan | Optional |
| Religious Studies | Jon Hamer | Optional |
| Drama | Layla Funnell | Optional |
