# Confederate State Troop Contributions by State (Infantry, Cavalry, Artillery)

| State | Infantry Regiments | Cavalry Regiments | Artillery Batteries | Notable Units (examples) | Primary Theater |
|---|---:|---:|---:|---|---|
| Virginia | 60+ | 20+ | 30+ | 1st Virginia Infantry; Richmond Howitzers | Eastern |
| Georgia | 50+ | 15+ | 20+ | 1st Georgia Regulars; Cobb's Legion | Eastern/Western |
| Alabama | 40+ | 10+ | 15+ | 5th Alabama; Forrest-associated cavalry | Western |
| Mississippi | 35+ | 8+ | 12+ | 17th Mississippi | Western |
| Louisiana | 30+ | 6+ | 18+ | Washington Artillery | Western |
| Tennessee | 25+ | 10+ | 10+ | 1st Tennessee Infantry | Western |
| Texas | 20+ | 12+ | 8+ | Texas Rangers; Hood's Texans | Trans-Mississippi |
| Arkansas | 18+ | 6+ | 10+ | 1st Arkansas Infantry; Reid's Battery | Trans-Mississippi |
| South Carolina | 25+ | 5+ | 10+ | 2nd South Carolina | Eastern |
| North Carolina | 45+ | 6+ | 12+ | 11th North Carolina | Eastern |
