# Side-by-Side Dosing Plans for Culture-Directed Antibiotics in Bacterial Prostatitis (Adults)

| Likely pathogen / setting | Antibiotic option | Dose (strength) | How taken (timing) | Example total daily amount | Usual course length | Practical remarks |
| --- | --- | --- | --- | --- | --- | --- |
| Enterobacterales (e.g., E. coli), susceptible | Ciprofloxacin | 500 mg | PO every 12 hours | 1000 mg/day | 4–6 weeks (chronic); 10–14 days (acute) | Take with water; separate from polyvalent cations (iron/calcium) |
| Enterobacterales, susceptible | Levofloxacin | 750 mg | PO once daily | 750 mg/day | 10–14 days (acute) | Once-daily regimen can improve adherence |
| Enterobacterales, susceptible | Levofloxacin | 500 mg | PO once daily | 500 mg/day | 4–6 weeks (chronic) | Longer duration commonly used in chronic infection |
| Susceptible gram-negative isolate; fluoroquinolone not suitable | Trimethoprim-sulfamethoxazole (DS) | 160/800 mg | PO every 12 hours | 320/1600 mg/day | 4–6 weeks | Consider monitoring potassium/creatinine in longer courses |
| Suspected Chlamydia-associated prostatitis | Doxycycline | 100 mg | PO every 12 hours | 200 mg/day | 10–14 days | Take with plenty of water; avoid lying down immediately after dose |
| Suspected gonococcal involvement (often with chlamydial coverage) | Ceftriaxone | 500 mg | IM single dose | 500 mg once | Single day (plus partner therapy considerations) | Given as one-time injection; typically combined with doxycycline when indicated |
| ESBL-producing organisms or multidrug resistance (culture-directed) | Fosfomycin tromethamine | 3 g sachet | PO every 48 hours | 1.5 g/day (average) | 2–6 weeks | Intermittent schedule is a key feature; specialist guidance advised |
| Enterococcus (selected cases, susceptible) | Amoxicillin-clavulanate | 875/125 mg | PO every 12 hours | 1750/250 mg/day | 2–4 weeks | Option varies by susceptibility; not preferred for many gram-negatives |
| Alternative tetracycline option (selected cases) | Minocycline | 100 mg | PO every 12 hours | 200 mg/day | 2–4 weeks | Sometimes used when doxycycline not tolerated |
| Step-down after initial IV therapy (when improving and susceptible) | Ciprofloxacin | 500 mg | PO every 12 hours | 1000 mg/day | To complete 2–4 weeks total | Table emphasizes the practical “switch to oral” schedule |
