# South Korea postal code prefixes by Seoul districts (Gu-level breakdown)

| Prefix / Range | Place (District) | Parent City |
|---|---|---|
| 030~032 | Jongno-gu | Seoul |
| 033~035 | Jung-gu | Seoul |
| 036~038 | Yongsan-gu | Seoul |
| 039~041 | Seongdong-gu | Seoul |
| 042~043 | Gwangjin-gu | Seoul |
| 044~045 | Dongdaemun-gu | Seoul |
| 046~047 | Jungnang-gu | Seoul |
| 048~049 | Seongbuk-gu | Seoul |
| 050~052 | Gangbuk-gu | Seoul |
| 053~055 | Dobong-gu | Seoul |
| 056~058 | Nowon-gu | Seoul |
