# Dunkin' Donuts Menu Prices (Region-Based Pricing Without Portion Size Column)

| Item | NYC Price | Chicago Price | Dallas Price |
| --- | --- | --- | --- |
| Hot Coffee | $2.59 | $2.29 | $2.09 |
| Iced Coffee | $3.09 | $2.79 | $2.59 |
| Hot Chocolate | $2.49 | $2.19 | $1.99 |
| Donut | $1.49 | $1.29 | $1.19 |
| Bagel | $1.19 | $0.99 | $0.89 |
| Bagel with Cream Cheese | $2.39 | $2.09 | $1.99 |
| Muffin | $2.29 | $1.99 | $1.89 |
| Hash Browns | $1.69 | $1.49 | $1.39 |
| Munchkins (Assorted) | $6.99 | $6.29 | $5.99 |
| Box O' Joe | $17.49 | $15.99 | $15.49 |
