# Africa-only reference list  African countries and their capital cities (country-first)

| Region | Country | Capital city/cities |
| --- | --- | --- |
| North Africa | Algeria | Algiers |
| North Africa | Egypt | Cairo |
| North Africa | Libya | Tripoli |
| North Africa | Morocco | Rabat |
| North Africa | Tunisia | Tunis |
| Horn of Africa | Djibouti | Djibouti City |
| Horn of Africa | Eritrea | Asmara |
| Horn of Africa | Ethiopia | Addis Ababa |
| Horn of Africa | Somalia | Mogadishu |
| Horn of Africa | Sudan | Khartoum |
| Horn of Africa | South Sudan | Juba |
| Southern Africa | South Africa | Pretoria (administrative); Cape Town (legislative); Bloemfontein (judicial) |
