# Felony Offenses and Typical Sentencing Ranges (U.S. Overview, Not State-Specific)

| Felony category | Example offense | Typical incarceration range | Typical fine range | Notes |
|---|---|---|---|---|
| Violent felony | Aggravated assault | 2–20 years | $5,000–$25,000 | Often enhanced if weapon used |
| Violent felony | Robbery | 3–25 years | $10,000–$50,000 | Enhancements for bodily injury |
| Homicide-related felony | Second-degree murder | 10 years–life | $0–$50,000 | Parole eligibility varies |
| Sex offense felony | Sexual assault | 5–30 years | $10,000–$100,000 | Registration commonly required |
| Property felony | Burglary | 1–15 years | $1,000–$25,000 | Degree depends on dwelling/weapon |
| Property felony | Grand larceny/theft | 1–10 years | $2,500–$25,000 | Threshold amounts differ |
| Drug felony | Trafficking/distribution | 2–40 years | $5,000–$250,000 | Quantity drives severity |
| Public order felony | Felony failure to appear | 1–10 years | $1,000–$10,000 | Often tied to underlying charge |
| White-collar felony | Fraud/embezzlement | 1–20 years | Restitution + $5,000–$250,000 | Loss amount drives sentencing |
| Weapons felony | Felon in possession | 1–15 years | $1,000–$25,000 | Federal vs state differences |
| Repeat-offender enhancement | Habitual offender | +2 years to life | Varies | Can trigger mandatory minimums |
