# Debt Collection Limitation Periods by State with Hierarchical Contract-Type Breakdown (Oral vs. Written Central)

| State | Category (hierarchical) | Oral (years) | Written (years) | Typical examples |
| --- | --- | ---: | ---: | --- |
| Florida | Contracts → General | 4 | 5 | Service agreement; signed contract |
| Florida | Debt → Open account | 4 | 4 | Credit card / revolving account |
| Florida | Debt → Promissory note | 5 | 5 | Installment note; IOU in writing |
| Nevada | Contracts → General | 4 | 6 | Unpaid contract balance |
| Nevada | Debt → Open account | 4 | 4 | Store account / credit card |
| Nevada | Debt → Promissory note | 3 | 6 | Note sometimes treated as written contract |
| New York | Contracts → General | 6 | 6 | Most consumer contracts |
| New York | Debt → Open account | 6 | 6 | Credit card balance |
| New York | Debt → Promissory note | 6 | 6 | Written note generally same period |
| Ohio | Contracts → General | 6 | 15 | Legacy figures often cited in debt charts |
| Ohio | Debt → Open account | 6 | 6 | Account stated / revolving debt |
| Oklahoma | Contracts → General | 3 | 5 | Oral services vs signed agreement |
| Oklahoma | Debt → Open account | 3 | 5 | Consumer account debt |
| Arizona | Contracts → General | 3 | 6 | Clear oral vs written distinction |
| Arizona | Debt → Promissory note | 3 | 6 | Written note treated as written contract |
