# Shade and Part-Shade Plants with Deer Resistance Ratings (Landscape Planning Table)

| Common Name | Latin Name | Plant Type | Light Preference | Deer Resistance Rating | Typical Use |
| --- | --- | --- | --- | --- | --- |
| Hellebore (Lenten Rose) | Helleborus orientalis | Perennial | Part shade–Shade | High | Border, woodland gardens |
| Foxglove | Digitalis purpurea | Biennial/Perennial | Part shade | Medium-High | Cottage beds, vertical accent |
| Fern (Japanese Painted Fern) | Athyrium niponicum | Perennial (Fern) | Shade | High | Shade texture, massing |
| Lungwort | Pulmonaria officinalis | Perennial | Part shade–Shade | High | Early spring color, ground layer |
| Barrenwort | Epimedium spp. | Groundcover/Perennial | Part shade–Shade | High | Dry shade groundcover |
| Bleeding Heart | Lamprocapnos spectabilis | Perennial | Part shade | Medium | Spring focal plant |
| Brunnera | Brunnera macrophylla | Perennial | Part shade–Shade | Medium-High | Shade border, silver foliage |
| Astilbe | Astilbe spp. | Perennial | Part shade | Medium | Moist shade plantings |
| Japanese Andromeda | Pieris japonica | Shrub | Part shade | High | Evergreen structure in shade |
| Sweet Box | Sarcococca confusa | Shrub | Shade | High | Fragrant evergreen, foundation planting |
