# Top London Stations Ranked by Passenger Traffic (Annual Entries + Exits)

| Rank | Station | Annual passenger traffic (entries + exits) | Notes |
|---:|---|---:|---|
| 1 | Waterloo | 98,442,742 | National Rail terminal |
| 2 | Victoria | 81,356,330 | Interchange with Underground |
| 3 | Liverpool Street | 63,004,002 | Includes major commuter flows |
| 4 | London Bridge | 56,442,044 | Thameslink/Southeastern hub |
| 5 | Paddington | 54,120,515 | Heathrow Express/GWR mainline |
| 6 | Euston | 45,870,210 | West Coast Main Line |
| 7 | King's Cross | 44,390,775 | LNER and regional services |
| 8 | St Pancras International | 43,210,664 | International + domestic |
| 9 | Charing Cross | 39,540,332 | Southeastern terminal |
| 10 | Stratford | 38,905,118 | Major interchange (NR/Overground) |
