# RuPaul's Drag Race (Season 5) — Contestants

| Contestant | Real Name | Age (at filming) | Hometown |
|---|---|---:|---|
| Alaska | Justin Honard | 27 | Erie, Pennsylvania |
| Alyssa Edwards | Justin Dwayne Lee Johnson | 32 | Mesquite, Texas |
| Coco Montrese | Samuel Steward | 37 | Miami, Florida |
| Detox | Matthew Sanderson | 27 | Orlando, Florida |
| Jinkx Monsoon | Jerick Hoffer | 25 | Seattle, Washington |
| Roxxxy Andrews | Michael Feliciano | 28 | Orlando, Florida |
| Ivy Winters | Dustin Winters | 27 | Springfield, Missouri |
| Lineysha Sparx | Lineysha Sparx | 28 | Puerto Rico |
| Serena ChaCha | Matthew Lucianis | 21 | Panama City, Florida |
