# BBC Wales Sports Personality of the Year
> Winners

| Year | Name | Field |
| --- | --- | --- |
| 2015 | Biggar, Dan Dan Biggar | Rugby union |
| 2014 | Thomas, Geraint Geraint Thomas | Cycling |
| 2013 | Halfpenny, Leigh Leigh Halfpenny | Rugby union |
| 2012 | Jones, Jade Jade Jones | Taekwondo |
| 2011 | Davies, Chaz Chaz Davies | Motorcycle racing |
| 2010 | Bale, Gareth Gareth Bale [2] | Football |
| 2009 | Giggs, Ryan Ryan Giggs [3] | Football |
| 2008 | Williams, Shane Shane Williams [4] | Rugby union |
| 2007 | Calzaghe, Joe Joe Calzaghe | Boxing |
| 2006 | Joe Calzaghe | Boxing |
| 2005 | Thomas, Gareth Gareth Thomas | Rugby union |
| 2004 | Grey-Thompson, Tanni Tanni Grey-Thompson | Wheelchair racing |
| 2003 | Cooke, Nicole Nicole Cooke | Road bicycle racing |
| 2002 | Hughes, Mark Mark Hughes | Football |
| 2001 | Joe Calzaghe | Boxing |
| 2000 | Tanni Grey-Thompson | Wheelchair racing |
| 1999 | Jackson, Colin Colin Jackson | Athletics ( 110 metre hurdles ) |
| 1998 | Thomas, Iwan Iwan Thomas | Athletics ( 400 metres ) |
| 1997 | Gibbs, Scott Scott Gibbs | Rugby union |
| 1996 | Giggs, Ryan Ryan Giggs | Football |
| 1995 | Southall, Neville Neville Southall | Football |
| 1994 | Robinson, Steve Steve Robinson | Boxing |
| 1993 | Colin Jackson | Athletics ( 110 metre hurdles ) |
| 1992 | Tanni Grey-Thompson | Wheelchair racing |
| 1991 | Woosnam, Ian Ian Woosnam | Golf |
| 1990 | Ian Woosnam | Golf |
| 1989 | Dodd, Stephen Stephen Dodd | Golf |
| 1988 | Colin Jackson | Athletics ( 110 metre hurdles ) |
| 1987 | Ian Woosnam | Golf |
| 1986 | Wade, Kirsty Kirsty Wade | Athletics ( middle distances ) |
| 1985 | Jones, Steven Steven Jones | Marathon |
| 1984 | Rush, Ian Ian Rush | Football |
| 1983 | Jones, Colin Colin Jones | Boxing |
| 1982 | Barry, Steve Steve Barry | Race walker |
| 1981 | Toshack, John John Toshack | Football |
| 1980 | Evans, Duncan Duncan Evans | Golf |
| 1979 | Griffiths, Terry Terry Griffiths | Snooker |
| 1978 | Owen, Johnny Johnny Owen | Boxing |
| 1977 | Bennett, Phil Phil Bennett | Rugby union |
| 1976 | Davies, Mervyn Mervyn Davies and the Wales national rugby union team | Rugby union |
| 1975 | Griffiths, Arfon Arfon Griffiths | Football |
| 1974 | Edwards, Gareth Gareth Edwards | Rugby union |
| 1973 | Price, Berwyn Berwyn Price | Athletics ( 100 metres hurdles ) |
| 1972 | Meade, Richard Richard Meade | Eventing |
| 1971 | Dawes, John John Dawes , the Wales national rugby union team and the British Lions | Rugby union |
| 1970 | Broome, David David Broome | Show jumping |
| 1969 | Lewis, Tony Tony Lewis | Cricket |
| 1968 | Woodroffe, Martyn Martyn Woodroffe | Swimming |
| 1967 | Winstone, Howard Howard Winstone | Boxing |
| 1966 | Davies, Lynn Lynn Davies | Athletics ( long jump ) |
| 1965 | Rowlands, Clive Clive Rowlands | Rugby union |
| 1964 | Lynn Davies | Athletics ( long jump ) |
| 1963 | Howard Winstone | Boxing |
| 1962 | Allchurch, Ivor Ivor Allchurch | Football |
| 1961 | Meredith, Bryn Bryn Meredith | Rugby union |
| 1960 | Curvis, Brian Brian Curvis | Boxing |
| 1959 | Moore, Graham Graham Moore | Football |
| 1958 | Howard Winstone | Boxing |
| 1957 | Rees, Dai Dai Rees | Golf |
| 1956 | Erskine, Joe Joe Erskine | Boxing |
| 1955 | Disley, John John Disley | Athletics ( 3000 metre steeplechase ) |
| 1954 | Jones, Ken Ken Jones | Rugby union , Athletics ( sprinting ) |
