# Planetary Dignities by Sign (Rulership, Exaltation, Detriment, Fall)

| Zodiac Sign | Ruler | Exaltation | Detriment | Fall | Notes |
|---|---|---|---|---|---|
| Aries | Mars | Sun | Venus | Saturn | drive, initiation |
| Taurus | Venus | Moon | Mars/Pluto | Uranus | stability, value |
| Gemini | Mercury | North Node | Jupiter | South Node | intellect, exchange |
| Cancer | Moon | Jupiter | Saturn | Mars | nurture, belonging |
| Leo | Sun | — | Saturn/Uranus | — | vitality, expression |
| Virgo | Mercury | Mercury | Jupiter/Neptune | Venus | detail, service |
| Libra | Venus | Saturn | Mars | Sun | balance, harmony |
| Scorpio | Mars/Pluto | — | Venus | Moon | intensity, transformation |
| Sagittarius | Jupiter | South Node | Mercury | North Node | exploration, meaning |
| Capricorn | Saturn | Mars | Moon | Jupiter | structure, mastery |
| Aquarius | Saturn/Uranus | — | Sun | — | systems, innovation |
| Pisces | Jupiter/Neptune | Venus | Mercury | Mercury | sensitivity, faith |
