# Top London Stations by Passenger Traffic (Monthly Totals Only, No Yearly Figure)

| Rank | Station | Month | Passenger entries+exits | Data source | Notes |
| --- | --- | --- | --- | --- | --- |
| 1 | Waterloo | Oct 2023 | 8,120,000 | Station gateline counts | Seasonal commute peak |
| 2 | Victoria | Oct 2023 | 7,430,000 | Station gateline counts | Includes event surges |
| 3 | Liverpool Street | Oct 2023 | 6,050,000 | Station gateline counts | Weekday-heavy |
| 4 | London Bridge | Oct 2023 | 5,480,000 | Station gateline counts | Interchange effects |
| 5 | King's Cross | Oct 2023 | 4,980,000 | Station gateline counts | Long-distance + Tube |
| 6 | Paddington | Oct 2023 | 4,760,000 | Station gateline counts | Airport links |
| 7 | Euston | Oct 2023 | 4,210,000 | Station gateline counts | Intercity |
| 8 | Stratford | Oct 2023 | 3,990,000 | Station gateline counts | Growing commuter base |
| 9 | Clapham Junction | Oct 2023 | 3,620,000 | Station gateline counts | Complex interchange |
| 10 | Finsbury Park | Oct 2023 | 3,050,000 | Station gateline counts | Strong AM peak |
