# Electrical resistivity and conductivity of selected materials (approx. 20 °C)

| Material | Category | Temperature (°C) | Electrical resistivity (Ω·m) | Electrical conductivity (S/m) | Notes |
|---|---|---:|---:|---:|---|
| Silver (Ag) | Metal | 20 | 1.59e-8 | 6.29e7 | Very high conductivity |
| Copper (Cu) | Metal | 20 | 1.68e-8 | 5.95e7 | Standard reference conductor |
| Gold (Au) | Metal | 20 | 2.44e-8 | 4.10e7 | Corrosion resistant |
| Aluminum (Al) | Metal | 20 | 2.82e-8 | 3.55e7 | Lightweight conductor |
| Iron (Fe) | Metal | 20 | 9.7e-8 | 1.03e7 | Higher resistivity than Cu/Al |
| Constantan (Cu–Ni alloy) | Alloy | 20 | 4.9e-7 | 2.04e6 | Low temperature coefficient |
| Nichrome (Ni–Cr alloy) | Alloy | 20 | 1.1e-6 | 9.09e5 | Heating element material |
| Graphite | Carbon allotrope | 20 | 3.0e-5 | 3.33e4 | Strongly anisotropic in reality |
| Silicon (intrinsic) | Semiconductor | 20 | 2.3e3 | 4.35e-4 | Strongly temperature/doping dependent |
| Glass (soda-lime) | Insulator | 20 | 1.0e10 | 1.0e-10 | Wide range by composition |
| PTFE (Teflon) | Polymer insulator | 20 | 1.0e16 | 1.0e-16 | Extremely insulating |
| Deionized water | Liquid | 25 | 1.8e5 | 5.5e-6 | Purity-dependent; listed near room temp |
