# Rotational Symmetry Order of Quadrilaterals and Related 2D Shapes

| Category | Shape (2D) | Rotational symmetry order |
|---|---|---:|
| Quadrilateral | Square | 4 |
| Quadrilateral | Rectangle (non-square) | 2 |
| Quadrilateral | Rhombus (non-square) | 2 |
| Quadrilateral | Parallelogram (generic) | 2 |
| Quadrilateral | Kite (generic) | 1 |
| Quadrilateral | Trapezoid / Trapezium (generic) | 1 |
| Quadrilateral | Isosceles trapezoid / isosceles trapezium | 1 |
| Related 2D shape | Regular 6-point star (hexagram) | 6 |
| Related 2D shape | Regular 5-point star (pentagram) | 5 |
| Related 2D shape | Circular sector (non-semicircle) | 1 |
