# Daylight Saving Time Observance by Continent and Country (Aggregated View)

| Continent | Subregion | Countries/Territories Included | DST Observed? | Typical Switch Window |
| --- | --- | --- | --- | --- |
| Europe | Western Europe | United Kingdom, Ireland, Portugal | Yes | Mar–Oct |
| Europe | Central Europe | Germany, France, Italy, Spain | Yes | Mar–Oct |
| Europe | Eastern Europe | Ukraine, Romania, Bulgaria | Yes | Mar–Oct |
| North America | Northern America | United States, Canada, Mexico (most) | Yes | Mar/Apr–Oct/Nov |
| North America | Caribbean | Jamaica, Haiti (varies), Dominican Republic | Mixed | Varies / often none |
| Asia | East Asia | Japan, China, South Korea | No | — |
| Africa | North Africa | Morocco (varies), Algeria, Tunisia | Mixed | Varies |
| Oceania | Australia & NZ | Australia (some), New Zealand | Mixed | Sep/Oct–Mar/Apr |
| South America | Southern Cone | Chile (varies), Argentina, Uruguay | Mixed | Varies / often none |
