# 2016 NFL Draft Overall Top 30 — With Position and Prospect Grade

| Rank | Player | Position | Prospect Grade |
|---:|---|---|---:|
| 1 | Joey Bosa | EDGE | 7.0 |
| 2 | Laremy Tunsil | OT | 6.9 |
| 3 | Ezekiel Elliott | RB | 6.8 |
| 4 | Jalen Ramsey | CB | 6.8 |
| 5 | DeForest Buckner | DT | 6.7 |
| 6 | Carson Wentz | QB | 6.7 |
| 7 | Ronnie Stanley | OT | 6.7 |
| 8 | Myles Jack | LB | 6.6 |
| 9 | Derrick Henry | RB | 6.5 |
| 10 | Jared Goff | QB | 6.5 |
| 11 | Vernon Hargreaves III | CB | 6.5 |
| 12 | Jack Conklin | OT | 6.5 |
| 13 | Shaq Lawson | EDGE | 6.4 |
| 14 | Sheldon Rankins | DT | 6.4 |
| 15 | Laquon Treadwell | WR | 6.4 |
| 16 | Darron Lee | LB | 6.3 |
| 17 | William Jackson III | CB | 6.3 |
| 18 | A'Shawn Robinson | DT | 6.3 |
| 19 | Taylor Decker | OT | 6.2 |
| 20 | Corey Coleman | WR | 6.2 |
| 21 | Paxton Lynch | QB | 6.2 |
| 22 | Karl Joseph | S | 6.1 |
| 23 | Josh Doctson | WR | 6.1 |
| 24 | Emmanuel Ogbah | EDGE | 6.1 |
| 25 | Devontae Booker | RB | 6.0 |
| 26 | Kenny Clark | DT | 6.0 |
| 27 | Robert Nkemdiche | DT | 6.0 |
| 28 | Artie Burns | CB | 6.0 |
| 29 | Su'a Cravens | LB/S | 5.9 |
| 30 | C.J. Prosise | RB | 5.9 |
