# 2008 NASCAR Craftsman Truck Series
> Races

| Pos | No. | Driver | Manu. | Team |
| --- | --- | --- | --- | --- |
| 1 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 2 | 30 | Todd Bodine | Toyota | Germain Racing |
| 3 | 22 | Scott Speed | Toyota | Bill Davis Racing |
| 4 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 5 | 14 | Rick Crawford | Ford | Circle Bar Racing |
| 6 | 7 | T. J. Bell | Chevrolet | TRG Motorsports |
| 7 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
| 8 | 18 | Dennis Setzer | Dodge | Bobby Hamilton Racing-Virginia |
| 9 | 15 | David Stremme | Toyota | Billy Ballew Motorsports |
| 10 | 59 | Ted Musgrave | Toyota | HT Motorsports |
