# Starbucks Beverage Calories by Standard Cup Size (Prepared Drinks)

| Drink type | Branded menu item | Standard size | Calories (kcal) |
| --- | --- | --- | --- |
| Hot coffee | Caffè Latte (2% milk) | Tall (12 fl oz) | 150 |
| Hot coffee | Caffè Latte (2% milk) | Grande (16 fl oz) | 190 |
| Hot coffee | Cappuccino (2% milk) | Grande (16 fl oz) | 140 |
| Espresso drinks | Caramel Macchiato | Grande (16 fl oz) | 250 |
| Espresso drinks | Mocha (with whipped cream) | Grande (16 fl oz) | 370 |
| Frappuccino | Coffee Frappuccino | Grande (16 fl oz) | 230 |
| Frappuccino | Caramel Frappuccino | Grande (16 fl oz) | 380 |
| Tea | Chai Tea Latte | Grande (16 fl oz) | 240 |
| Cold coffee | Iced Vanilla Latte (2% milk) | Grande (16 fl oz) | 200 |
| Cold coffee | Cold Brew (unsweetened) | Grande (16 fl oz) | 5 |
