# Early U.S. Leaders Before Washington — Colony Region Associations (Not States)

| # | Name | Associated Colony/Region | City Linked | Notes |
|---:|---|---|---|---|
| 1 | Peyton Randolph | Colony of Virginia | Williamsburg | Speaker figure in pre-independence congresses |
| 2 | Henry Middleton | Province of South Carolina | Charleston | Early presiding role in Continental Congress |
| 3 | John Hancock | Province of Massachusetts Bay | Boston | Signed and presided during wartime period |
| 4 | Henry Laurens | Province of South Carolina | Charleston | Merchant-politician, served as presiding officer |
| 5 | John Jay | Province of New York | New York City | Diplomacy and congressional leadership |
| 6 | Samuel Huntington | Colony of Connecticut | Norwich | Congressional presiding role |
| 7 | Thomas McKean | Delaware Colony | New Castle | Acting presiding officer period |
| 8 | Elias Boudinot | Province of New Jersey | Elizabethtown | Congressional presiding role |
| 9 | Richard Henry Lee | Colony of Virginia | Westmoreland County | Influential in independence-era congress |
