# Rh(D) Positive Negative Distribution by Country (No ABO Breakdown)

| Country | Rh(D) Positive (%) | Rh(D) Negative (%) | Notes |
| --- | --- | --- | --- |
| Japan | 99.5 | 0.5 | Very low Rh- frequency |
| China | 99.0 | 1.0 | National estimate |
| India | 95.0 | 5.0 | Broad range by region |
| Brazil | 92.0 | 8.0 | Mixed ancestry |
| Nigeria | 97.0 | 3.0 | Donor-based stats |
| United Kingdom | 83.0 | 17.0 | Higher Rh- in Europe |
| Spain | 85.0 | 15.0 |  |
| Turkey | 90.0 | 10.0 |  |
| United States | 85.0 | 15.0 | Approx. national figure |
