# Secondary Subject Catalogue with Chemical Topic Breakdown (GCSE vs A level)

| Subject | GCSE Availability | A level Availability | Example Units/Topics Included |
| --- | --- | --- | --- |
| Biology | Yes | Yes | Cells, genetics, ecology |
| Chemistry | Yes | Yes | Acids/alkalis, organic chemistry, equilibrium |
| Physics | Yes | Yes | Forces, electricity, nuclear physics |
| Combined Science | Yes | No | Biology/Chemistry/Physics overview |
| Mathematics | Yes | Yes | Algebra, calculus (A level), statistics |
| Geography | Yes | Yes | Coasts, urban issues, fieldwork |
| History | Yes | Yes | Conflict, social change, coursework |
| Computer Science | Yes | Yes | Programming, data, networks |
| English Literature | Yes | Yes | Set texts, unseen analysis |
| Food Preparation and Nutrition | Yes | No | Practical cooking, nutrition |
| Psychology | No | Yes | Research methods, cognition |
