# The Mystery of the Third Planet
> Creators

|  | English | Russian |
| --- | --- |
| Director | Roman Kachanov | Роман Качанов |
| Writer | Kir Bulychov (story & screenplay) | Кир Булычёв |
| Art Director | Natalya Orlova [Note 1] | Наталья Орлова [Note 1] |
| Artists | Alla Goreva Dmitriy Kulikov Igor Oleynikov I. Litovskaya Irina Svetlitsa Victor Chuguyevskiy V. Maksimovich Geliy Arkadyev Gennady Morozov | Алла Горева Дмитрий Куликов Игорь Олейников И. Литовская Ирина Светлица Виктор Чугуевский В. Максимович Гелий Аркадьев Геннадий Морозов |
| Animators | Marina Voskanyants Marina Rogova Vladimir Arbekov Vladimir Zarubin Aleksandr Panov Violetta Kolesnikova Renata Mirenkova Vladimir Shevchenko Antonina Alyoshina Olga Orlova Joseph Kuroyan Yuriy Batanin | Марина Восканьянц Марина Рогова Владимир Арбеков Владимир Зарубин Александр Панов Виолетта Колесникова Рената Миренкова Владимир Шевченко Антонина Алешина Ольга Орлова Иосиф Куроян Юрий Батанин |
| Camera | Svetlana Koshcheyeva Teodor Bunimovich | Светлана Кощеева Теодор Бунимович |
| Music | Aleksandr Zatsepin | Александр Зацепин |
| Editors | Nadezhda Treshcheva Olga Vasilenko | Надежда Трещева Ольга Василенко |
| Sound | Boris Filchikov | Борис Фильчиков |
| Script Editor | Natalya Abramova | Наталья Абрамова |
| Executive Producer | Ninel Lipnitskaya | Нинель Липницкая |
| Voice Actors | Olga Gromova (Alice) Vsevolod Larionov (Seleznyov) Vasily Livanov (Gromozeka) Grigory Shpigel (Vesselchuck Oo) Rina Zelyonaya (Old Lady with a cake) Yuriy Andreyev (Prof. Verhovtsev) Vladimir Druzhnikov (Cpt. Kim) Vladimir Kenigson (Chatterbird) Yuri Volyntsev (Cpt. Green) Yelena Krasnobayeva Roman Kachanov, Jr (Ushan on the Street) | Ольга Громова (Алиса) Всеволод Ларионов (Селезнёв) Василий Ливанов (Громозека) Григорий Шпигель (Весельчак У) Рина Зеленая (старушка с тортиком) Юрий Андреев (профессор Верховцев) Владимир Дружников (капитан Ким) Владимир Кенигсон (Говорун) Юрий Волынцев (капитан Зелёный) Елена Краснобаева Роман Качанов-мл.(Ушан на улице) |
