# Fast-Food Items Listed with Calories per 100 g (Not per Menu Serving)

| Brand | Item | Measurement Basis | Calories (kcal) | Comment |
|---|---|---|---:|---|
| McDonald's | Big Mac | per 100 g | 257 | not per sandwich |
| Subway | Italian B.M.T. | per 100 g | 240 | depends on length |
| Starbucks | Mocha Frappuccino | per 100 g | 97 | varies by size |
| KFC | Mashed Potatoes & Gravy | per 100 g | 120 | serving varies |
| Taco Bell | Nacho Cheese Sauce | per 100 g | 280 | portion varies |
| Domino's | Garlic Dipping Sauce | per 100 g | 520 | not per cup |
| Burger King | Chicken Fries | per 100 g | 290 | count varies |
| Tim Hortons | French Vanilla | per 100 g | 90 | size-dependent |
| Wendy's | Chili | per 100 g | 85 | bowl size differs |
| Dunkin' | Glazed Donut | per 100 g | 403 | not per donut |
