# Windows Server Memory Limits by Edition (Capacity Planning Reference)

| Windows release | Edition | Architecture | Maximum supported RAM | Licensing/edition note |
|---|---|---|---|---|
| Windows Server 2008 R2 | Standard | x64 | 32 GB | Entry edition memory cap |
| Windows Server 2008 R2 | Enterprise | x64 | 2 TB | Higher cap for consolidation |
| Windows Server 2008 R2 | Datacenter | x64 | 2 TB | Similar to Enterprise for RAM |
| Windows Server 2012 | Foundation | x64 | 32 GB | OEM-only, limited roles |
| Windows Server 2012 | Essentials | x64 | 64 GB | Small business/user limits |
| Windows Server 2012 | Standard | x64 | 4 TB | General purpose |
| Windows Server 2012 | Datacenter | x64 | 4 TB | Virtualization-focused licensing |
| Windows Server 2016 | Standard | x64 | 24 TB | Modern baseline |
| Windows Server 2016 | Datacenter | x64 | 24 TB | Modern baseline |
