# Travel Vaccinations by Country (Selected Destinations) — General Advice Only

| Country | Recommended Travel Vaccines (General) | Notes |
| --- | --- | --- |
| Indonesia | Hepatitis A, Typhoid, Tetanus | Consider rabies for long stays |
| South Africa | Hepatitis A, Typhoid, Tetanus | Malaria prevention varies by area |
| Kenya | Hepatitis A, Typhoid, Tetanus | Rural travel increases risk |
| Brazil | Hepatitis A, Typhoid, Tetanus | Food/water precautions |
| Thailand | Hepatitis A, Typhoid, Tetanus | Mosquito-borne illness precautions |
| Peru | Hepatitis A, Typhoid, Tetanus | High-altitude travel planning |
| India | Hepatitis A, Typhoid, Tetanus | Traveler’s diarrhea prevention |
| Australia | Routine vaccines up to date | Mostly routine guidance |
| Japan | Routine vaccines up to date | Seasonal influenza often advised |
| Turkey | Hepatitis A, Tetanus | Standard traveler hygiene advice |
