# Serie A (2015–16 season) — Club teams with location

| Club | City | Home Stadium | Notes |
| --- | --- | --- | --- |
| Juventus | Turin | Juventus Stadium | Also known as Allianz Stadium |
| Napoli | Naples | Stadio San Paolo | Renamed Diego Armando Maradona Stadium later |
| Roma | Rome | Stadio Olimpico | Shared venue |
| Lazio | Rome | Stadio Olimpico | Shared venue |
| Fiorentina | Florence | Stadio Artemio Franchi |  |
| Inter | Milan | San Siro | Shared venue |
| AC Milan | Milan | San Siro | Shared venue |
| Bologna | Bologna | Stadio Renato Dall'Ara |  |
| Atalanta | Bergamo | Stadio Atleti Azzurri d'Italia |  |
| Sampdoria | Genoa | Stadio Luigi Ferraris | Shared venue |
