# Global Stock Exchanges  Trading Sessions and Local Hours

| Exchange | City | Session Type | Local Time (Mon–Fri) |
|---|---|---|---|
| New York Stock Exchange (NYSE) | New York | Core Trading | 09:30–16:00 |
| NASDAQ | New York | Core Trading | 09:30–16:00 |
| London Stock Exchange (LSE) | London | Core Trading | 08:00–16:30 |
| Tokyo Stock Exchange (TSE) | Tokyo | Morning / Afternoon | 09:00–11:30; 12:30–15:00 |
| Hong Kong Stock Exchange (HKEX) | Hong Kong | Core Trading | 09:30–16:00 |
| Shanghai Stock Exchange (SSE) | Shanghai | Morning / Afternoon | 09:30–11:30; 13:00–15:00 |
| Deutsche Börse (Xetra) | Frankfurt | Core Trading | 09:00–17:30 |
| Toronto Stock Exchange (TSX) | Toronto | Core Trading | 09:30–16:00 |
| Australian Securities Exchange (ASX) | Sydney | Core Trading | 10:00–16:00 |
| Johannesburg Stock Exchange (JSE) | Johannesburg | Core Trading | 09:00–17:00 |
