# Glycemic Response Summary by Meal Recipe (Rows Are Not Single Foods)

| Meal / Prepared Dish | Key Ingredients | Portion | GI (estimated) | Notes |
|---|---|---:|---:|---|
| Peanut butter toast | White bread + peanut butter | 1 slice | 62 | Mixed fat lowers response |
| Chicken burrito | Tortilla + rice + beans | 1 burrito | 58 | Mixed meal; varies by brand |
| Sushi roll (california) | Rice + crab + mayo | 6 pieces | 64 | Sauce changes GI |
| Yogurt parfait | Sweetened yogurt + granola + berries | 1 cup | 55 | Depends on granola sugar |
| Pasta with tomato sauce | White pasta + sauce | 1.5 cups | 49 | Cooking time affects GI |
| Cheeseburger | Bun + beef + cheese | 1 sandwich | 59 | Mixed macronutrients |
| Fruit smoothie | Banana + juice + yogurt | 12 oz | 68 | Blending increases response |
| Stir-fry with rice | White rice + vegetables | 2 cups | 66 | Rice dominates GI |
| Breakfast combo | Corn flakes + milk + banana | 1 bowl | 72 | Cereal drives GI |
