# # Sixth-form and GCSE options at Northbridge Secondary School  Subjects offered by stage

| Subject | GCSE availability | A level availability | Notes |
| --- | --- | --- | --- |
| English Language | Yes | No | Core at GCSE |
| Mathematics | Yes | Yes | Further Maths available at A level |
| Biology | Yes | Yes |  |
| Chemistry | Yes | Yes |  |
| Physics | Yes | Yes |  |
| History | Yes | Yes |  |
| Geography | Yes | Yes |  |
| Art & Design | Yes | Yes |  |
| Computer Science | Yes | Yes |  |
| Business Studies | Yes | Yes |  |
