# West Francia and Early Capetian Kings (Monarchs, Not Modern Officeholders)

| Period | Monarch | Reign start | Reign end | Title | Accession / Relationship note |
| --- | --- | --- | --- | --- | --- |
| West Francia | Robert I | 922 | 923 | King of the Franks | Elected/recognized king after opposition to the reigning Carolingian |
| West Francia | Rudolph (Raoul) | 923 | 936 | King of the Franks | Succeeds Robert I as West Frankish monarch |
| West Francia | Louis IV | 936 | 954 | King of the Franks | Carolingian restoration in West Francia |
| West Francia | Lothair | 954 | 986 | King of the Franks | Hereditary succession within the Carolingian line |
| West Francia | Louis V | 986 | 987 | King of the Franks | Last Carolingian king in West Francia |
| Early France (Capetian) | Hugh Capet | 987 | 996 | King of the Franks | Founder of the Capetian royal line |
| Early France (Capetian) | Robert II "the Pious" | 996 | 1031 | King of the Franks | Son and successor of Hugh Capet |
| Early France (Capetian) | Henry I | 1031 | 1060 | King of the Franks | Capetian king; reign dates establish royal tenure |
| Early France (Capetian) | Philip I | 1060 | 1108 | King of the Franks | Long Capetian reign; monarch listing (not local nobility) |
