# Economics Major Internship Targets (Organizations and Programs)

| Program / Initiative | Organization | Eligibility | Season | What You Do (General) |
|---|---|---|---|---|
| Pathways Program | U.S. Government Agencies | Students/recent grads | Year-round | Rotational exposure |
| Summer Associate Program | Federal Reserve System | Undergrad/grad | Summer | Research support |
| Research Internship | IMF | Grad students | Summer | Macro research assistance |
| Junior Professional Associate (JPA) | World Bank | Recent grads | Year-round | Project support |
| Summer Internship | OECD | Students | Summer | Policy research support |
| Internship Program | United Nations | Students | Spring/Summer/Fall | Program assistance |
| Analyst Internship Program | Morgan Stanley | Undergrad | Summer | Finance team support |
| Internship | Brookings Institution | Students | Summer | Policy center support |
| Internship | Pew Research Center | Students | Summer | Survey research support |
| Internship Program | European Central Bank (ECB) | Grad students | Summer | Economic and financial research |
| Fellowship | National Science Foundation (NSF) | Graduates | Varies | Research funding support |
