# 2016 NFL Draft Prospect Rankings — Skill Positions (QB RB WR TE) Composite

| Rank (Skill) | Player | Position | School |
|---:|---|---|---|
| 1 | Ezekiel Elliott | RB | Ohio State |
| 2 | Jared Goff | QB | California |
| 3 | Laquon Treadwell | WR | Ole Miss |
| 4 | Carson Wentz | QB | North Dakota State |
| 5 | Derrick Henry | RB | Alabama |
| 6 | Josh Doctson | WR | TCU |
| 7 | Corey Coleman | WR | Baylor |
| 8 | C.J. Prosise | RB | Notre Dame |
| 9 | Hunter Henry | TE | Arkansas |
| 10 | Devontae Booker | RB | Utah |
| 11 | Tyler Boyd | WR | Pittsburgh |
| 12 | Paxton Lynch | QB | Memphis |
