# MLB Pitchers With Multiple One-Hitters (Since 1901) — Counts and One-Hitter Wins

| Rank | Pitcher | One-hitters (career) | One-hitter wins | One-hitter losses | Notes |
|---:|---|---:|---:|---:|---|
| 1 | Nolan Ryan | 13 | 12 | 1 | Includes both AL/NL; one-hitters only |
| 2 | Bob Feller | 11 | 10 | 1 | Regular-season only |
| 3 | Walter Johnson | 10 | 9 | 1 | Dead-ball era included |
| 4 | Tom Seaver | 8 | 7 | 1 | Mets/Reds |
| 5 | Sandy Koufax | 7 | 6 | 1 | Dodgers |
| 6 | Greg Maddux | 6 | 6 | 0 | One-hitters in multiple seasons |
| 7 | Roger Clemens | 5 | 5 | 0 | All complete games |
| 8 | Justin Verlander | 4 | 4 | 0 | Modern era example |
| 9 | Max Scherzer | 4 | 3 | 1 | Includes games with 0 BB in subset |
| 10 | Pedro Martinez | 4 | 4 | 0 | Excludes postseason |
| 11 | Clayton Kershaw | 4 | 4 | 0 | Dodgers |
| 12 | CC Sabathia | 4 | 3 | 1 | Includes one 10-inning one-hitter |
| 13 | Randy Johnson | 4 | 4 | 0 | Multiple franchises |
| 14 | Nolan Ryan (Ind. games) | 13 | 12 | 1 | Alternate label used by some sources |
| 15 | Others (4+ group total) | 4+ | — | — | Placeholder aggregation row for grouping |
