# Law & Order  Special Victims Unit —  Blast  (2006) Cast & Character Notes

| Actor | Character | Billing | Notes |
| --- | --- | --- | --- |
| Christopher Meloni | Det. Elliot Stabler | Main | Appears throughout Season 7 |
| Mariska Hargitay | Det. Olivia Benson | Main | Series lead; later promoted to Captain |
| Richard Belzer | Det. John Munch | Main | Crossover character from Homicide |
| Diane Neal | ADA Casey Novak | Main | Credit-only in this episode |
| Tamara Tunie | Dr. Melinda Warner | Recurring | Long-running medical examiner |
| Ice-T | Det. Odafin "Fin" Tutuola | Main | Joined the squad in Season 2 |
| Dann Florek | Capt. Donald Cragen | Main | Squad commander; years active: 1999–2014 |
| BD Wong | Dr. George Huang | Recurring | Episodes (approx.): 50+ |
| Guest Star (various) | Various roles | Guest | See episode guide for full list |
