# IUPAC Priority Order Including Many Oxygen Groups (Precedence Table, Not a Functional-Group Reference)

| Priority | Principal functional class | Key atom pattern | Preferred suffix | Typical prefix |
| --- | --- | --- | --- | --- |
| 1 | Carboxylic acids | –C(=O)OH | -oic acid | carboxy- |
| 2 | Sulfonic acids | –SO3H | -sulfonic acid | sulfo- |
| 3 | Esters | –C(=O)OR | -oate | alkoxycarbonyl- |
| 4 | Acyl halides | –C(=O)X | -oyl halide | halocarbonyl- |
| 5 | Aldehydes | –CHO | -al | formyl- |
| 6 | Ketones | >C=O | -one | oxo- |
| 7 | Alcohols | –OH | -ol | hydroxy- |
| 8 | Ethers | –O– | (no suffix) | alkoxy- |
| 9 | Amines (non-oxygen) | –NH2 | -amine | amino- |
| 10 | Halides (non-oxygen) | –X | (no suffix) | fluoro-/chloro-/bromo- |
