# Under Secretary of Defense for Policy
> Principal Deputy

| Name | Tenure | USD(P) Served Under | SecDef(s) Served Under | President(s) Served Under |
| --- | --- | --- | --- | --- |
| I. Lewis Libby | August 12, 1992 - January 10, 1993 | Paul Wolfowitz | Richard B. Cheney | George H.W. Bush |
| Walter B. Slocombe | June 1, 1993 - September 14, 1994 | Frank G. Wisner | Leslie Aspin, Jr. William J. Perry | Bill Clinton |
| Jan M. Lodal | October 3, 1994 - September 30, 1998 | Walter B. Slocombe | William J. Perry William S. Cohen | Bill Clinton |
| James M. Bodner | October 1, 1998 - January 19, 2001 | Walter B. Slocombe | William S. Cohen | Bill Clinton |
| Stephen A. Cambone | July 25, 2001 - July 1, 2002 | Douglas Feith | Donald H. Rumsfeld | George W. Bush |
| Christopher "Ryan" Henry | February 7, 2003 - August 2008 [7] | Douglas Feith Eric S. Edelman | Donald H. Rumsfeld Robert M. Gates | George W. Bush |
| James N. Miller | April 2, 2009 - February 18, 2012 | Michele Flournoy | Robert M. Gates | Barack Obama |
| Elissa Slotkin | April 2, 2009 - February 18, 2012 | Michael D. Lumpkin Christine E. Wormuth | Chuck Hagel | Barack Obama |
| Brian P. Mckeon | July 28, 2014 - June 10, 2016 | Christine E. Wormuth | Ash Carter | Barack Obama |
