# Citizen Khan (TV Series 2012– ) — Full Cast & Crew (Cast Involvement by Episode Totals)

| Billing / Type | Person | Character | Episodes (Years) |
|---|---|---|---|
| Main cast | Adil Ray | Mr. Khan | 28 episodes (2012–2016) |
| Main cast | Bhavna Limbachia | Alia Khan | 28 episodes (2012–2016) |
| Main cast | Abdullah Afzal | Amjad Malik | 28 episodes (2012–2016) |
| Main cast | Shobu Kapoor | Mrs. Khan | 27 episodes (2012–2016) |
| Supporting | Nish Nathwani | Riaz | 22 episodes (2012–2015) |
| Supporting | Mayuri Boonham | Shazia Malik | 20 episodes (2012–2015) |
| Recurring | Tameka Empson | Andy | 12 episodes (2013–2016) |
| Recurring | Warren Donnelly | Dave | 8 episodes (2012–2014) |
| Guest | Kieran Hodgson | Various (Guest) | 2 episodes (2016) |
