# Brake Caliper Replacement Cost Range (Single Caliper) with Parts vs Labor by Vehicle

| Vehicle | Location | Parts Cost Range (1 caliper) | Labor Cost Range | Core Charge (refundable) | Estimated Total Range |
|---|---|---:|---:|---:|---:|
| 2011 Honda Accord | Front | $85–$210 | $120–$200 | $20–$60 | $225–$470 |
| 2015 Toyota Corolla | Front | $90–$220 | $110–$190 | $20–$60 | $220–$470 |
| 2013 Ford Escape | Rear | $100–$260 | $130–$220 | $25–$70 | $255–$550 |
| 2014 Nissan Altima | Front | $95–$240 | $120–$210 | $20–$70 | $235–$520 |
| 2016 Chevrolet Malibu | Rear | $110–$280 | $130–$230 | $25–$80 | $265–$590 |
| 2012 BMW X5 | Front | $190–$520 | $160–$320 | $40–$120 | $390–$960 |
| 2018 Audi A4 | Front | $220–$600 | $170–$340 | $40–$130 | $430–$1,070 |
| 2017 RAM 1500 | Front | $140–$380 | $150–$260 | $30–$90 | $320–$730 |
| 2020 Tesla Model 3 | Rear | $160–$420 | $150–$280 | $0–$0 | $310–$700 |
| **Notes (typical)** | — | Reman vs new affects price | May include bleeding time | Core often refunded when returned | Total excludes pads/rotors unless bundled |
