# James Cameron
> Reception

| Film | Rotten Tomatoes [127] | Metacritic [128] | CinemaScore [129] | Budget | Box office [130] |
| --- | --- | --- | --- | --- | --- |
| Piranha II: The Spawning | 7% (15 reviews) | N/A | N/A | $145,.786 | N/A |
| The Terminator | 100% (56 reviews) | 83 (11 reviews) | N/A | $6.400.000 | $78.371.200 |
| Aliens | 98% (62 reviews) | 87 (9 reviews) | A | $17.000.000 | $131.060.248 |
| The Abyss | 89% (44 reviews) | 62 (14 reviews) | A | $70.000.000 | $90.000.098 |
| Terminator 2: Judgment Day | 93% (67 reviews) | 75 (22 reviews) | A+ | $94.000.000 | $519.843.345 |
| True Lies | 72% (47 reviews) | 63 (17 reviews) | A | $115.000.000 | $378.882.411 |
| Titanic | 88% (178 reviews) | 74 (34 reviews) | A+ | $200.000.000 | $2.186.772.302 |
| Ghosts of the Abyss | 80% (100 reviews) | 67 (24 reviews) | N/A | $13.000.000 | $28.780.668 |
| Aliens of the Deep | 84% (61 reviews) | 71 (18 reviews) | N/A |  | $12.770.637 |
| Avatar | 83% (293 reviews) | 83 (35 reviews) | A | $237.000.000 | $2.787.965.087 |
