# SharePoint Server 2016 Installation Scenarios — Prerequisites & Sizing Comparison (Single Server vs Farm Roles)

| Scenario | Intended use | SharePoint server RAM | SharePoint server CPU / cores | SQL tier sizing | Storage prerequisites | OS / platform prerequisites | Software prerequisites tied to scenario | Notes |
|---|---|---:|---|---|---|---|---|---|
| Single server (evaluation) using built-in DB | Trial / demo environment | 16 GB | 64-bit, 4 cores | Built-in SQL Express | 80 GB free on system drive | Windows Server (64-bit) joined to domain optional | Install SharePoint prerequisites + local admin rights | Not supported for production workloads |
| Single server (small production) with remote SQL | Small intranet, limited service apps | 24 GB | 64-bit, 4–8 cores | Dedicated SQL Server (separate host) | Separate volumes for logs/content recommended | Windows Server (64-bit) domain-joined | SQL connectivity + service accounts provisioned | Simplest “real” topology |
| Two-server farm: WFE+App combined | Small farm where web and app roles share a server | 24–32 GB | 64-bit, 8 cores | Dedicated SQL Server | Fast disk for ULS logs and temp | Windows Server (64-bit) domain-joined | Configure prerequisite installer on SharePoint tier; SQL client connectivity | Easier than 3-tier, still scalable |
| Three-tier farm: dedicated WFE | Separate web front end tier | 16 GB per WFE | 64-bit, 4–8 cores | Dedicated SQL Server | Standard disk; consider SSD for temp | Windows Server (64-bit) domain-joined | Load balancer + SSL prerequisites for web access | Scale-out web tier horizontally |
| Three-tier farm: dedicated App server | Separate application tier for service apps | 24–32 GB | 64-bit, 8–16 cores | Dedicated SQL Server | Separate disks for logs, search, temp | Windows Server (64-bit) domain-joined | Service application provisioning accounts and certificates (if used) | Keeps service apps isolated |
| Database tier: single SQL instance (dev/test) | Non-HA SQL for lab | N/A (SQL host) | 64-bit, 4–8 cores | 32 GB RAM on SQL host | High IOPS for tempdb recommended | Windows Server (64-bit) | SQL Server (64-bit) installed and patched | Size depends on content and crawl |
| Database tier: HA SQL (Always On/cluster) | Production resilience | N/A (SQL host) | 64-bit, 8+ cores | 64+ GB RAM on SQL host | Shared storage / replicas as designed | Windows Server (64-bit) | SQL HA configured before SharePoint | Align with SharePoint latency needs |
| Search-dedicated server (farm role) | Large content, heavy indexing | 32–64 GB | 64-bit, 8–16 cores | Dedicated SQL Server | Very fast disk for index partition | Windows Server (64-bit) domain-joined | Prereqs + ensure adequate index volume | Search is typically the heaviest role |
| Distributed Cache dedicated server | Improves performance for social/auth cache | 16–24 GB | 64-bit, 4–8 cores | Dedicated SQL Server | Standard disk; keep OS headroom | Windows Server (64-bit) domain-joined | Cache service prerequisites installed via SharePoint prereq tool | Don’t over-allocate cache memory |
| Workflow/Service Apps heavy (App tier expanded) | Many service apps (MMS, BCS, etc.) | 32 GB | 64-bit, 8–16 cores | Dedicated SQL Server | Separate volumes for temp/logs | Windows Server (64-bit) domain-joined | Certificates/SMTP/AD integration prerequisites if required | Plan dependencies per service app |
