# Most Subscribed YouTube Channels (Ranked) — Channel and Owner Directory

| Rank | Channel name | Owner/Brand |
|---:|---|---|
| 1 | T-Series | Super Cassettes Industries Pvt. Ltd. |
| 2 | MrBeast | Jimmy Donaldson |
| 3 | Cocomelon - Nursery Rhymes | Moonbug Entertainment |
| 4 | SET India | Sony Pictures Networks India |
| 5 | Kids Diana Show | Diana Kidisyuk |
| 6 | Like Nastya | Nastya Radzinskaya |
| 7 | PewDiePie | Felix Kjellberg |
| 8 | WWE | World Wrestling Entertainment |
| 9 | Zee Music Company | Zee Entertainment Enterprises |
| 10 | Vlad and Niki | Vlad Vashketov & Nikita Vashketov |
