# Handgun and Rifle Calibers  Typical Bullet Diameter Lookup (in   mm)

| Caliber designation | Typical bullet diameter (in) | Typical bullet diameter (mm) |
| --- | --- | --- |
| .30 Carbine | 0.308 | 7.82 |
| 7.62 mm (typical rifle) | 0.308 | 7.82 |
| .32 (auto/revolver class) | 0.312 | 7.92 |
| 9 mm (Luger class) | 0.355 | 9.02 |
| .357 Magnum / .38 Special | 0.357 | 9.07 |
| .380 ACP (9 mm Short) | 0.355 | 9.02 |
| .40 S&W / 10 mm Auto family | 0.400 | 10.16 |
| .41 Magnum | 0.410 | 10.41 |
| .44 Special / .44 Magnum | 0.429 | 10.90 |
| .45 ACP / .45 Colt family | 0.452 | 11.48 |
| .475 Linebaugh class | 0.475 | 12.07 |
| .50 AE / .500 class (typical) | 0.500 | 12.70 |
