# Ancient Egyptian Deities Reference List (Name, Domain, Iconography, Key Notes)

| Deity | Type | Domain / Powers | Common iconography | Short identifying description |
| --- | --- | --- | --- | --- |
| Amun | God | Air, hiddenness, kingship | Man with tall double-plume crown | Rose to prominence at Thebes; later fused as Amun-Ra |
| Anubis | God | Embalming, mummification, protection of the dead | Jackal-headed man | Overseer of funerary rites and tomb protection |
| Bastet | Goddess | Protection, fertility, domesticity | Cat or woman with cat head | Protector of home; later linked with joy and music |
| Geb | God | Earth | Man reclining with goose symbol | Personification of the earth; sibling/consort of Nut |
| Hathor | Goddess | Love, music, motherhood, joy | Cow or woman with cow horns and sun disk | Patron of celebration; sometimes “Lady of the West” |
| Horus | God | Kingship, sky, protection | Falcon or falcon-headed man | Associated with the living king; avenger of Osiris |
| Isis | Goddess | Magic, healing, motherhood | Woman with throne hieroglyph or cow horns | Skilled magician; central figure in Osiris myth |
| Ma'at | Goddess | Truth, balance, cosmic order | Woman with ostrich feather | Her feather is used in the weighing of the heart |
| Nephthys | Goddess | Mourning, protection of the dead | Woman with house-and-basket symbol | Often paired with Isis in funerary contexts |
| Nut | Goddess | Sky, stars | Woman arched over the earth | Swallows the sun at night and gives birth to it at dawn |
| Osiris | God | Underworld, afterlife, resurrection | Mummified king with crook and flail | Judge/ruler of the dead; mythic king |
| Ptah | God | Creation, craftsmen, architects | Mummified man with skullcap | Creator deity of Memphis; patron of artisans |
| Ra | God | Sun, creation, royal power | Falcon-headed man with sun disk | Solar deity central to many creation traditions |
| Sekhmet | Goddess | War, plague, healing, fiery power | Lioness-headed woman with sun disk | Destructive force but also invoked for healing |
| Thoth | God | Writing, wisdom, measurement, magic | Ibis-headed man or baboon | Divine scribe; linked with calendars and knowledge |
