# UPSC   SSC   State Exams Calendar (Includes Diploma-Eligible Tests)

| Exam Body | Exam / Recruitment Name | Notification Month | Exam Stage | Eligibility Snapshot |
|---|---|---|---|---|
| UPSC | Engineering Services Examination (ESE) | Sep | Prelims | Degree-level (not diploma-only) |
| SSC | SSC JE (Civil/Mech/Electrical) | Jul | CBT | Diploma OR Degree |
| RRB | JE CBT (Railways) | Jan | CBT-1/CBT-2 | Diploma/ Degree (varies) |
| State PSC | AE/JE Combined Exam | Mar | Written | JE: Diploma; AE: Degree |
| NLC / PSU | Graduate & Technician Trainee Test | Oct | Online Test | Diploma + Graduate combined |
| DRDO | CEPTAM Tech-A | Nov | CBT | 10th + ITI |
| ITBP | Constable Recruitment | Feb | PET/CBT | 10th/12th |
| ESIC | UDC / Steno | Apr | CBT | Graduate |
| Coastal Guard | Navik / Yantrik | May | Written | 12th / Diploma (Yantrik) |
| State Board | Junior Assistant Exam | Aug | CBT | 12th/Graduate |
