# Books of the Bible by Tradition and Order (Catalog View)

| Order | Hebrew Bible (Tanakh) | Protestant OT | Catholic OT | Orthodox OT | Notes |
|---:|---|---|---|---|---|
| 1 | Genesis | Genesis | Genesis | Genesis | Pentateuch / Torah |
| 2 | Exodus | Exodus | Exodus | Exodus | Pentateuch / Torah |
| 3 | Leviticus | Leviticus | Leviticus | Leviticus | Pentateuch / Torah |
| 4 | Numbers | Numbers | Numbers | Numbers | Pentateuch / Torah |
| 5 | Deuteronomy | Deuteronomy | Deuteronomy | Deuteronomy | Pentateuch / Torah |
| 6 | Joshua | Joshua | Joshua | Joshua | Historical books |
| 7 | Judges | Judges | Judges | Judges | Historical books |
| 8 | Ruth | Ruth | Ruth | Ruth | Historical books |
| 9 | 1 Samuel | 1 Samuel | 1 Samuel | 1 Kingdoms | Naming differs by tradition |
| 10 | 2 Samuel | 2 Samuel | 2 Samuel | 2 Kingdoms | Naming differs by tradition |
| 11 | 1 Kings | 1 Kings | 1 Kings | 3 Kingdoms | Naming differs by tradition |
| 12 | 2 Kings | 2 Kings | 2 Kings | 4 Kingdoms | Naming differs by tradition |
