# Element Abundance in the Solar System (Normalized to Silicon = 1)

| Element | Symbol | Abundance (atoms, Si=1) | Primary source | Notes |
|---|---|---:|---|---|
| Hydrogen | H | 3.2e4 | Solar photosphere | Dominant cosmic element |
| Helium | He | 2.3e3 | Solar photosphere | Noble gas |
| Carbon | C | 10.0 | CI chondrites | Volatile |
| Nitrogen | N | 3.1 | Solar photosphere | Volatile |
| Oxygen | O | 17.4 | CI chondrites | Major rock-former |
| Neon | Ne | 2.15 | Solar photosphere | Noble gas |
| Magnesium | Mg | 1.07 | CI chondrites | Refractory |
| Silicon | Si | 1.00 | Reference | Normalization baseline |
| Iron | Fe | 0.85 | CI chondrites | Refractory |
| Argon | Ar | 0.102 | Solar photosphere | Noble gas |
| Krypton | Kr | 5.5e-5 | Solar photosphere | Trace |
| Xenon | Xe | 5.4e-6 | Solar photosphere | Trace |
