# Game of Thrones (TV Series 2011–2019) - Full Cast & Crew - IMDb-style Participation Table

| Section | Person | Role / Job | Episodes | Credited years |
|---|---|---|---:|---|
| Cast | Emilia Clarke | Daenerys Targaryen | 62 | 2011–2019 |
| Cast | Kit Harington | Jon Snow | 62 | 2011–2019 |
| Cast | Lena Headey | Cersei Lannister | 62 | 2011–2019 |
| Cast | Peter Dinklage | Tyrion Lannister | 62 | 2011–2019 |
| Cast | Maisie Williams | Arya Stark | 62 | 2011–2019 |
| Cast | Sophie Turner | Sansa Stark | 59 | 2011–2019 |
| Cast | Nikolaj Coster-Waldau | Jaime Lannister | 55 | 2011–2019 |
| Cast | Iain Glen | Jorah Mormont | 52 | 2011–2019 |
| Cast | Conleth Hill | Varys | 45 | 2011–2019 |
| Cast | Aidan Gillen | Petyr 'Littlefinger' Baelish | 33 | 2011–2017 |
| Crew → Showrunning | David Benioff | Creator / Executive Producer | 73 | 2011–2019 |
| Crew → Showrunning | D.B. Weiss | Creator / Executive Producer | 73 | 2011–2019 |
| Crew → Music | Ramin Djawadi | Composer | 73 | 2011–2019 |
