# North Carolina Local Sales and Use Tax Rates by County (Selected Counties)

| County (NC) | Combined Local Sales & Use Tax Rate | Notes |
|---|---:|---|
| Alamance | 7.00% | County-level combined rate |
| Buncombe | 7.00% | County-level combined rate |
| Cabarrus | 7.25% | County-level combined rate |
| Cumberland | 7.00% | County-level combined rate |
| Durham | 7.50% | County-level combined rate |
| Gaston | 7.25% | County-level combined rate |
| Mecklenburg | 7.25% | County-level combined rate |
| New Hanover | 7.00% | County-level combined rate |
| Wake | 7.25% | County-level combined rate |
| Watauga | 7.00% | County-level combined rate |
