# Governor General of Canada (Post-Confederation) — Chronological List

| Office Holder | Term (Start–End) | Monarch | Notes |
| --- | --- | --- | --- |
| The Viscount Monck | 1867–1869 | Victoria | First Governor General after Confederation |
| Lord Lisgar | 1869–1872 | Victoria | Oversaw early Dominion governance |
| The Earl of Dufferin | 1872–1878 | Victoria | Promoted Canadian identity |
| The Marquess of Lorne | 1878–1883 | Victoria | Linked to royal household |
| Lord Lansdowne | 1883–1888 | Victoria | Continued federal institutionalization |
| Lord Stanley of Preston | 1888–1893 | Victoria | Associated with Stanley Cup origins |
| The Earl of Aberdeen | 1893–1898 | Victoria | Increased vice-regal travel |
| The Earl of Minto | 1898–1904 | Victoria/Edward VII | Transition between monarchs |
| Earl Grey | 1904–1911 | Edward VII/George V | Fostered national competitions |
