# Statute of Limitations by State for Contract Debt Actions (Oral vs Written, Selected States)

| State | Oral contract / verbal promise (years) | Written contract (years) | Promissory note (years) | Open account / revolving debt (years) | Notes (contract/debt-focused) |
| --- | ---: | ---: | ---: | ---: | --- |
| Alabama | 6 | 6 | 6 | 3 | Distinguishes open accounts from general contracts |
| Alaska | 3 | 3 | 3 | 3 | Commonly grouped as contract-based claims |
| Arizona | 3 | 6 | 6 | 3 | Written obligations generally longer than oral |
| Arkansas | 3 | 5 | 5 | 3 | Often categorized by contract type |
| California | 2 | 4 | 4 | 4 | Oral agreements typically shorter than written |
| Colorado | 3 | 3 | 6 | 6 | Notes/open accounts sometimes treated as “debt instruments” |
| Florida | 4 | 5 | 5 | 4 | Frequently presented as a debt-collection SOL summary |
| Georgia | 4 | 6 | 6 | 4 | Contract vs open-account separation is common |
| Illinois | 5 | 10 | 10 | 5 | Written contracts often have extended periods |
| Nevada | 4 | 6 | 6 | 4 | Typical side-by-side oral/written comparison |
| New York | 6 | 6 | 6 | 6 | Same baseline period often listed across contract types |
| Ohio | 6 | 8 | 8 | 6 | Some summaries treat written contracts differently by subtype |
