# Nazi Camps in Occupied Europe  Concentration, Extermination, Transit, and Forced-Labor Sites

| Camp | Present-day location | Category | Primary function | Notes |
| --- | --- | --- | --- | --- |
| Auschwitz-Birkenau | Poland | Extermination / Concentration | Mass murder; forced labor | Combined complex with multiple functions |
| Treblinka II | Poland | Extermination | Mass murder | Operation Reinhard killing center |
| Sobibor | Poland | Extermination | Mass murder | Operation Reinhard killing center |
| Belzec | Poland | Extermination | Mass murder | Operation Reinhard killing center |
| Chelmno (Kulmhof) | Poland | Extermination | Mass murder | Gas vans used |
| Majdanek (Lublin) | Poland | Concentration / Extermination | Imprisonment; killing | Dual-use site |
| Bergen-Belsen | Germany | Holding / Concentration | Detention | Not an extermination camp |
| Dachau | Germany | Concentration | Forced labor; imprisonment | Not a death camp |
| Ravensbrück | Germany | Concentration | Imprisonment; forced labor | Women’s camp |
| Mauthausen-Gusen | Austria | Forced labor | Forced labor; imprisonment | Extensive sub-camp system |
