# Comparison of Photo Editors (Adobe and Non-Adobe)

| Editor | Vendor | Platform focus | Latest major version | Licensing model |
| --- | --- | --- | --- | --- |
| Photoshop | Adobe | Windows/macOS | 2024 | Subscription |
| Lightroom | Adobe | Windows/macOS/mobile | 2024 | Subscription |
| GIMP | Community | Windows/macOS/Linux | 2.10 | Free / Open source |
| Affinity Photo | Serif | Windows/macOS/iPad | 2.x | One-time purchase |
| Capture One | Capture One A/S | Windows/macOS | 23 | Subscription / Perpetual |
| Paint.NET | dotPDN LLC | Windows | 5.x | Freeware |
| Krita | KDE | Windows/macOS/Linux | 5.x | Free / Open source |
| Photopea | Photopea | Web | N/A | Freemium |
| Pixelmator Pro | Pixelmator Team | macOS | 3.x | One-time purchase |
