# Standard Amino Acids  Essentiality Classification and Codes (Human Nutrition Study List)

| Amino Acid (Full Name) | 3-Letter Code | 1-Letter Code | Essentiality (Adults) |
| --- | --- | --- | --- |
| Histidine | His | H | Essential |
| Isoleucine | Ile | I | Essential |
| Leucine | Leu | L | Essential |
| Lysine | Lys | K | Essential |
| Methionine | Met | M | Essential |
| Phenylalanine | Phe | F | Essential |
| Threonine | Thr | T | Essential |
| Tryptophan | Trp | W | Essential |
| Valine | Val | V | Essential |
| Alanine | Ala | A | nullssential |
| Asparagine | Asn | N | nullssential |
| Aspartic acid (Aspartate) | Asp | D | nullssential |
| Glutamic acid (Glutamate) | Glu | E | nullssential |
| Serine | Ser | S | nullssential |
