# Spine MRI CPT Code Crosswalk (Common Orders and Wording Variants)

| Common Order Wording | Spine Region | Typical CPT Code | Contrast Detail |
| --- | --- | --- | --- |
| "MRI C-spine w/o contrast" | Cervical | 72141 | Without contrast |
| "MRI C-spine w/ contrast" | Cervical | 72142 | With contrast |
| "MRI C-spine w/wo contrast" | Cervical | 72156 | With and without contrast |
| "MRI T-spine w/o contrast" | Thoracic | 72146 | Without contrast |
| "MRI T-spine w/ contrast" | Thoracic | 72147 | With contrast |
| "MRI T-spine w/wo contrast" | Thoracic | 72157 | With and without contrast |
| "MRI L-spine w/o contrast" | Lumbar | 72148 | Without contrast |
| "MRI L-spine w/ contrast" | Lumbar | 72149 | With contrast |
| "MRI L-spine w/wo contrast" | Lumbar | 72158 | With and without contrast |
