# 2010 FIFA World Cup qualification
> Qualified teams

| Team | Qualified as | Qualification date | Appearance in finals | Consecutive Streak | Previous best performance | FIFA Ranking 1 |
| --- | --- | --- | --- | --- | --- | --- |
| South Africa | *Host ! Host | 00 15 May 2004 | 03 ! 3rd | 012002 ! 1 (Last: 2002 ) | 15 ! Group Stage ( 1998 , 2002 ) | 85 |
| Japan | AFC A2 ! AFC Fourth Round Group A Runners-Up | 01 6 June 2009 | 04 ! 4th | 042006 ! 4 | 14 ! Round of 16 ( 2002 ) | 40 |
| Australia | AFC A1 ! AFC Fourth Round Group A Winners | 02 6 June 2009 | 03 ! 3rd | 022006 ! 2 | 14 ! Round of 16 ( 2006 ) | 24 |
| South Korea | AFC B1 ! AFC Fourth Round Group B Winners | 03 6 June 2009 | 08 ! 8th | 072006 ! 7 | 09 ! Fourth Place ( 2002 ) | 48 |
| Netherlands | UEFA 9 ! UEFA Group 9 Winners | 04 6 June 2009 | 09 ! 9th | 022006 ! 2 | 06 ! Runners-Up ( 1974 , 1978 ) | 3 |
| North Korea | AFC B2 ! AFC Fourth Round Group B Runners-Up | 05 17 June 2009 | 02 ! 2nd | 011966 ! 1 (Last: 1966 ) | 12 ! Quarter-finals ( 1966 ) | 91 |
| Brazil | CONMEBOL 1 ! CONMEBOL Winners | 06 5 September 2009 | 19 ! 19th | 192006 ! 19 | 01 ! Winners ( 1958 , 1962 , 1970 , 1994 , 2002 ) | 1 |
| Ghana | CAF D ! CAF Third Round Group D Winners | 07 6 September 2009 | 02 ! 2nd | 022006 ! 2 | 14 ! Round of 16 ( 2006 ) | 38 |
| England | UEFA 6 ! UEFA Group 6 Winners | 08 9 September 2009 | 13 ! 13th | 042006 ! 4 | 05 ! Winners ( 1966 ) | 7 |
| Spain | UEFA 5 ! UEFA Group 5 Winners | 09 9 September 2009 | 13 ! 13th | 092006 ! 9 | 09 ! Fourth Place ( 1950 ) | 2 |
| Paraguay | CONMEBOL 3 ! CONMEBOL Third Place | 10 9 September 2009 | 08 ! 8th | 042006 ! 4 | 13 ! Round of 16 ( 1986 , 1998 , 2002 ) | 21 |
| Ivory Coast | CAF E ! CAF Third Round Group E Winners | 11 10 October 2009 | 02 ! 2nd | 022006 ! 2 | 16 ! Group Stage ( 2006 ) | 19 |
