# Subway Signature Subs  Size-to-Price Breakdown (6-inch and Footlong)

| Category | Subway Sub Item | Size | Price |
|---|---|---|---:|
| Chicken | Sweet Onion Chicken Teriyaki | 6-inch | $5.25 |
| Chicken | Sweet Onion Chicken Teriyaki | Footlong | $8.75 |
| Chicken | Oven Roasted Chicken | 6-inch | $5.15 |
| Chicken | Oven Roasted Chicken | Footlong | $8.59 |
| Classic | Meatball Marinara | 6-inch | $4.75 |
| Classic | Meatball Marinara | Footlong | $7.69 |
| Classic | Italian B.M.T. | 6-inch | $5.35 |
| Classic | Italian B.M.T. | Footlong | $8.89 |
| Seafood | Tuna | 6-inch | $5.05 |
| Seafood | Tuna | Footlong | $8.39 |
| Turkey | Turkey Breast | 6-inch | $4.95 |
| Turkey | Turkey Breast | Footlong | $8.29 |
