# All-Time Highest Rated Chess Players (Peak Classical Elo)

| Rank (by Peak) | Player | Peak Classical Elo | Month/Year of Peak | Main Federation (at peak) | Notes |
|---:|---|---:|---|---|---|
| 1 | Magnus Carlsen | 2882 | May 2014 | NOR | Highest recorded peak rating |
| 2 | Garry Kasparov | 2851 | Jul 1999 | RUS | Dominant #1 across multiple years |
| 3 | Fabiano Caruana | 2844 | Oct 2014 | ITA | Reached peak after elite super-tournament run |
| 4 | Levon Aronian | 2830 | Mar 2014 | ARM | Long-time top-3 contender |
| 5 | Viswanathan Anand | 2817 | Mar 2011 | IND | Former world champion; consistent elite rating |
| 6 | Hikaru Nakamura | 2816 | Oct 2015 | USA | Peak classical rating shown for comparison |
| 7 | Ding Liren | 2816 | Nov 2018 | CHN | Peak during extended unbeaten streak |
| 8 | Vladimir Kramnik | 2810 | Oct 2016 | RUS | Late-career rating resurgence |
| 9 | Veselin Topalov | 2813 | Apr 2006 | BUL | Peak around top world ranking period |
| 10 | Ian Nepomniachtchi | 2795 | Mar 2021 | RUS | Peak near Candidates/Championship cycle |
