# Lieutenancy areas of Scotland
> Definition of the areas

| County | Lieutenancy title | Former region | Part of the former region included |
| --- | --- | --- | --- |
| Aberdeen | Aberdeenshire | Grampian | The County of Aberdeen as existing before 16 May 1975, except that part in the City of Aberdeen |
| Angus | Angus | Tayside | District of Angus |
| Argyll | Argyll and Bute | Strathclyde | District of Argyll and Bute |
| Ayr | Ayrshire and Arran | Strathclyde | Districts of Cunninghame , Kilmarnock and Loudoun , Kyle and Carrick and Cumnock and Doon Valley |
| Banff | Banffshire | Grampian | the county of Banff as existing before 16 May 1975 |
| Berwick | Berwickshire | Borders | District of Berwickshire |
| Caithness | Caithness | Highland | District of Caithness |
| Clackmannan | Clackmannan or Clackmannanshire | Central | District of Clackmannan |
| Dumfries | Dumfries or Dumfriesshire | Dumfries and Galloway | Districts of Nithsdale and Annandale and Eskdale |
| Dunbarton | Dunbartonshire or Dumbartonshire | Strathclyde | Districts of Dumbarton , Clydebank , Bearsden and Milngavie , Strathkelvin and Cumbernauld and Kilsyth |
| East Lothian | East Lothian | Lothian | District of East Lothian |
| Fife | Fife | Fife | Entire Region |
| Inverness | Inverness or Inverness-shire | Highland | Districts of Lochaber , Inverness and Badenoch and Strathspey |
| Kincardine | Kincardineshire | Grampian | The county of Kincardine as existing before 16 May 1975, except that part in the City of Aberdeen |
| Kinross (held jointly with Perth ) | Perth and Kinross | Tayside | District of Perth and Kinross |
| Stewartry of Kirkcudbright | Kirkcudbrightshire or Stewartry of Kirkcudbright | Dumfries and Galloway | District of Stewartry |
| Lanarkshire | Lanarkshire | Strathclyde | Districts of Monklands , Motherwell , Hamilton , East Kilbride and Lanark |
| Midlothian | Midlothian | Lothian | District of Midlothian |
| Moray | Morayshire | Grampian | Such part of the county of Moray as existing before 16 May 1975 as lies within the Region |
| Nairn | Nairn | Highland | District of Nairn |
| Orkney | Orkney | Orkney Islands Area | Entire area |
| Peebles | Peeblesshire | Borders | District of Tweeddale |
| Perth (held jointly with Kinross ) | Perth and Kinross | Tayside | District of Perth and Kinross |
| Renfrew | Renfrewshire | Strathclyde | Districts of Eastwood , Renfrew and Inverclyde |
| Ross and Cromarty | Ross and Cromarty | Highland | Districts of Ross and Cromarty and Skye and Lochalsh |
| Roxburgh (held jointly with Selkirk ) | Roxburgh or Roxburghshire (held with Ettrick and Lauderdale) | Borders | District of Roxburgh |
| Selkirk (held jointly with Roxburgh ) | Ettrick and Lauderdale (held with Roxburgh) | Borders | District of Ettrick and Lauderdale |
| Stirling | Stirling and Falkirk | Central | Districts of Stirling and Falkirk |
| Sutherland | Sutherland | Highland | District of Sutherland |
| West Lothian | West Lothian | Lothian | District of West Lothian |
| - | Western Isles | Western Isles Islands Area | Entire area |
| Wigtown | Wigtown or Wigtownshire | Dumfries and Galloway | District of Wigtown |
| Zetland | Shetland | Shetland Islands Area | Entire area |
