# Exchange Server and Cumulative Update Build Matrix for Hybrid Readiness

| Exchange version | Cumulative Update | Build number | Release month | Supported for Hybrid (example) |
| --- | --- | --- | --- | --- |
| Exchange Server 2013 | CU21 | 15.0.1395.4 | Jun-2017 | Yes |
| Exchange Server 2013 | CU22 | 15.0.1473.3 | Feb-2018 | Yes |
| Exchange Server 2013 | CU23 | 15.0.1497.2 | Jun-2018 | Yes |
| Exchange Server 2016 | CU18 | 15.1.2106.2 | Feb-2021 | Yes |
| Exchange Server 2016 | CU19 | 15.1.2176.2 | Sep-2021 | Yes |
| Exchange Server 2016 | CU20 | 15.1.2242.4 | Mar-2022 | Yes |
| Exchange Server 2016 | CU21 | 15.1.2308.8 | Jun-2022 | Yes |
| Exchange Server 2019 | CU10 | 15.2.986.5 | Jun-2022 | Yes |
| Exchange Server 2019 | CU11 | 15.2.1118.7 | Nov-2022 | Yes |
